"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 13:31:42 GMT 2024","Fri Jun 07 13:31:42 GMT 2024","7","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"unknown","Fri Jun 07 13:31:42 GMT 2024","Fri Jun 07 13:31:42 GMT 2024","0","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
"unknown","Fri Jun 07 13:31:42 GMT 2024","Fri Jun 07 13:31:42 GMT 2024","2","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"unknown","Fri Jun 07 13:31:42 GMT 2024","Fri Jun 07 13:31:42 GMT 2024","0","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
